last_name, first_name,player_id,year,on_base_plus_slg,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,oz_contact_percent,out_zone_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent
Gamel, Ben,592325,2022,0.693,88.8,11.3,6.2,6.2,28.8,24.1,29.6,4.4,37.6,65,23.6,48.1,52.8,86.7,47.2,44.7,23.8,36.1,38.7,25.2,43.4,25.9,26.3,4.4
Judge, Aaron,592450,2022,1.108,95.9,15,26.5,7.2,20,18.8,26.5,0.5,61.8,66.1,22.9,46.5,54.2,79.7,45.8,42.2,29.8,47.3,31.5,21.3,37,38.3,22.3,2.5
Machado, Manny,592518,2022,0.898,91.5,16,9.8,9.8,24.4,25.5,27.5,2.9,49,74.5,30.6,60.2,53.9,82.3,46.1,43.5,24.9,40.7,33.1,26.2,37.6,23.7,29.1,9.6
Moran, Colin,592567,2022,0.681,90.4,10.3,8.5,7.3,24.4,19.5,39,0,39,73.3,31,50.5,55.5,83.8,44.5,39.2,27.7,47.6,29.3,23.2,50,28,20.7,1.2
Pederson, Joc,592626,2022,0.874,93.2,14.8,15.1,5.6,23.9,27.8,22.9,3.9,52.1,65.1,29.6,55.8,53.6,84.9,46.4,41.3,24.4,35.6,37.7,26.8,37.3,33.8,22.9,6
Realmuto, J.T.,592663,2022,0.82,90.3,13.1,11.3,6.7,26.7,22.1,30.5,2.6,47.2,67.7,30.9,61.7,50.8,80.3,49.2,43.4,25.7,38.2,33.6,28.2,44.6,25.6,24.1,5.6
Renfroe, Hunter,592669,2022,0.806,90.5,17.7,10.9,6.4,21.8,30.4,27.1,3.4,43.6,66.2,31.8,58.3,53.6,81.2,46.4,41.2,27,40.5,36,23.5,37.4,30.2,21.5,10.9
Rosario, Eddie,592696,2022,0.587,87.7,15.2,5.4,5.9,21.1,33.5,28.1,5.4,33,70,40.5,52.8,56,77.5,44,41,31.9,38.4,43.2,18.4,39.5,30.3,23.8,6.5
Yelich, Christian,592885,2022,0.737,91.5,3.6,8.2,6.7,25.5,13.2,43.3,3.1,48.6,65.4,23.1,48.5,52.5,85.1,47.5,41.6,25,33.4,38.9,27.6,59.1,18,19.7,3.1
Merrifield, Whit,593160,2022,0.673,87.1,15.1,4.2,7.3,23,29.5,30.9,4.9,31.1,71.4,29.7,65.9,49.3,85.6,50.7,44.1,19.4,35.1,35.8,29,41.2,28.8,22.2,7.7
Bogaerts, Xander,593428,2022,0.833,88.1,10.2,6.5,4.9,27.8,21.7,34.1,4.5,39.5,63.4,29.2,62.4,51.8,81.5,48.2,43.6,24.8,37.2,37.4,25.3,46.6,21.1,25.8,6.5
Alberto, Hanser,593643,2022,0.623,82.9,10.8,1.5,6.9,20.6,27.5,33.6,9.9,18.3,76.4,47.6,60.6,51.2,80.4,48.8,43.8,25.5,42,34.4,23.7,50.4,26,19.8,3.8
Polanco, Jorge,593871,2022,0.751,89,21.7,10.2,6.3,25.7,33.8,19.4,4.2,38.7,61.2,25.1,57,52.2,81.8,47.8,44.1,25.6,46.5,33.1,20.4,30.6,34.9,25.4,9.2
Calhoun, Kole,594777,2022,0.587,90.8,15.4,9.8,8.6,26.7,26.3,26.7,2,48.2,78.4,32.3,46.4,55,72.5,45,41.2,36.3,45.9,34.5,19.6,38,26.3,27.1,8.6
Duvall, Adam,594807,2022,0.677,88.3,23.4,12.8,7.4,21.3,35.1,19.7,3.7,41,67.4,34.3,56.1,51.1,78.6,48.9,42.2,29.2,48.4,32.4,19.1,29.3,38.8,20.7,11.2
Kiermaier, Kevin,595281,2022,0.649,87.9,5.3,6.9,4.8,29,16.6,40.7,2.1,38.6,75.1,27.8,36,49.3,78.8,50.7,44,31.9,32.4,35.2,32.4,52.4,23.4,20.7,3.4
Alfaro, Jorge,595751,2022,0.667,89.4,8,11.2,4.3,21.7,21.1,34.8,5.6,38.5,80.8,46,46.1,52.4,71.9,47.6,43.9,38,31.1,41.6,27.3,47.2,23,26.7,3.1
Profar, Jurickson,595777,2022,0.721,87.5,12.9,4,4.6,28.7,27.8,29.5,4.8,34.3,64.1,23.8,68,50.8,85.5,49.2,43.3,18.7,42.1,32.6,25.3,44.8,22.8,25.7,6.7
Baez, Javier,595879,2022,0.671,87.9,9.6,8,4.9,20.9,21.9,40.1,2.9,38,68,47.5,50.9,59.3,77.7,40.7,39.8,35.8,39.9,34.8,25.3,50.6,22.9,20.4,6.1
Cave, Jake,595909,2022,0.644,90.7,14.4,10.3,9.4,18.8,31.6,27.4,2.6,42.7,73,30.6,45.6,52.5,73.2,47.5,43,35,24.8,49.6,25.6,36.8,39.3,22.2,1.7
Hedges, Austin,595978,2022,0.482,84.2,16.7,3.1,4.4,19.2,33.6,30.1,9.2,22.3,68.4,28.5,50,52.3,80.8,47.7,42.6,27.1,41,34.9,24,40.6,24,23.6,11.8
Lindor, Francisco,596019,2022,0.788,89.3,13.8,8.3,6.2,22.4,26.8,32.3,3.8,41.3,68.1,29.9,59.8,53.2,85.5,46.8,43.3,22.9,38.3,37.5,24.2,43.5,27.6,20.4,8.5
Odor, Rougned,596059,2022,0.632,87.8,21.5,6.5,5.6,23.1,36.4,23.1,4.7,33.3,72.9,30.9,56.2,53.2,79.2,46.8,42.5,27.3,42.4,36.8,20.9,32.4,29,22.7,15.9
Slater, Austin,596103,2022,0.774,89,6.6,10.5,6.8,28.9,14.2,33.7,5.8,39.5,67.2,26.5,51.1,54,75.6,46,41.2,31.2,31.1,42.6,26.3,53.7,19.5,25.3,1.6
Story, Trevor,596115,2022,0.737,88.9,17.8,11.3,7.1,21.3,31,27.2,2.1,40.6,68.9,33.2,52.3,53.4,78.5,46.6,45.6,30.8,38.5,36.4,25.1,35.1,28.9,24.3,11.7
Stubbs, Garrett,596117,2022,0.809,85.2,15.2,5.2,5.2,22.1,23.4,27.3,16.9,27.3,51.9,28,60,53.1,85.4,46.9,44,21.2,50.6,36.4,13,46.8,20.8,22.1,10.4
Vogelbach, Daniel,596129,2022,0.793,89.4,15.8,10.6,7.7,24.5,26,29.3,1.5,39.9,45.4,20.5,66.8,53.2,86.1,46.8,43.6,20.4,40.7,35.5,23.8,38.1,29.7,24.9,7.3
